Time Tags (Channel 1),Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1
-2.41326E-07, 2.12610E-03, 9.811873592E-03, 2.39492E-03, 1.0748936188E-02, 2.19941E-03, 2.7022458768E-02, 2.88368E-03, 3.4076431121E-02, 4.3988E-04, 3.8282013415E-02, 1.53959E-03, 4.1317114054E-02, 1.90616E-03, 5.9609768606E-02, 3.10362E-03
-2.41170E-07, 2.00391E-03, 9.811873748E-03, 2.19941E-03, 1.0748936345E-02, 2.39492E-03, 2.7022458925E-02, 2.90811E-03, 3.4076431277E-02, 6.3539E-04, 3.8282013571E-02, 1.75953E-03, 4.1317114210E-02, 1.93060E-03, 5.9609768763E-02, 3.00587E-03
-2.41014E-07, 1.93060E-03, 9.811873904E-03, 2.00391E-03, 1.0748936501E-02, 2.63930E-03, 2.7022459081E-02, 2.95699E-03, 3.4076431433E-02, 9.0420E-04, 3.8282013728E-02, 2.00391E-03, 4.1317114366E-02, 2.00391E-03, 5.9609768919E-02, 2.95699E-03
-2.40858E-07, 1.83284E-03, 9.811874060E-03, 1.78397E-03, 1.0748936657E-02, 2.81036E-03, 2.7022459237E-02, 2.98143E-03, 3.4076431590E-02, 1.12414E-03, 3.8282013884E-02, 2.17498E-03, 4.1317114522E-02, 2.05279E-03, 5.9609769075E-02, 2.85924E-03
-2.40701E-07, 1.73509E-03, 9.811874217E-03, 1.61290E-03, 1.0748936813E-02, 3.00587E-03, 2.7022459393E-02, 3.03030E-03, 3.4076431746E-02, 1.41740E-03, 3.8282014040E-02, 2.34604E-03, 4.1317114679E-02, 2.12610E-03, 5.9609769231E-02, 2.83480E-03
-2.40545E-07, 1.58847E-03, 9.811874373E-03, 1.36852E-03, 1.0748936970E-02, 3.12805E-03, 2.7022459550E-02, 3.05474E-03, 3.4076431902E-02, 1.68622E-03, 3.8282014196E-02, 2.44379E-03, 4.1317114835E-02, 2.17498E-03, 5.9609769388E-02, 2.76149E-03
-2.40389E-07, 1.49071E-03, 9.811874529E-03, 1.19746E-03, 1.0748937126E-02, 3.25024E-03, 2.7022459706E-02, 3.10362E-03, 3.4076432058E-02, 1.97947E-03, 3.8282014353E-02, 2.54154E-03, 4.1317114991E-02, 2.29717E-03, 5.9609769544E-02, 2.71261E-03
-2.40233E-07, 1.34409E-03, 9.811874685E-03, 1.02639E-03, 1.0748937282E-02, 3.34800E-03, 2.7022459862E-02, 3.15249E-03, 3.4076432215E-02, 2.29717E-03, 3.8282014509E-02, 2.61486E-03, 4.1317115147E-02, 2.39492E-03, 5.9609769700E-02, 2.68817E-03
-2.40076E-07, 1.22190E-03, 9.811874842E-03, 8.5533E-04, 1.0748937438E-02, 3.39687E-03, 2.7022460018E-02, 3.22581E-03, 3.4076432371E-02, 2.61486E-03, 3.8282014665E-02, 2.66373E-03, 4.1317115304E-02, 2.49267E-03, 5.9609769856E-02, 2.66373E-03
-2.39920E-07, 1.09971E-03, 9.811874998E-03, 7.0870E-04, 1.0748937595E-02, 3.42131E-03, 2.7022460175E-02, 3.27468E-03, 3.4076432527E-02, 2.90811E-03, 3.8282014821E-02, 2.68817E-03, 4.1317115460E-02, 2.61486E-03, 5.9609770013E-02, 2.66373E-03
